Subject,Business Scenario,Environment,Test Phase,Test Type,Test Case id,Test Case Description,Test Objective,Pre - Condition,Test Data,Description (design steps),Expected Result,Actual Result,Priority
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_19_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Transaction are allowed after removal (removed restriction Dr/Cr/All) - Multiple cases,"Account no 
",Customer No,Commit & Auth,System should allow transaction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_20_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Dr Restriction,Account Available,Account number,"Navigate Menu  and Find Account
 
 ",System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_20_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Dr Restriction,Account Available,Account number,Select New Activity from arrangement ,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_20_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Dr Restriction,Account Available,Account number,Apply Posting Restrict,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_20_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Dr Restriction,Account Available,Account number,Select 1 - Post No Debit,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_20_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Dr Restriction,Account Available,Account number,"Validate, Commit & Auth",System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_21_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Cr Restriction,Account Available,Account number,"Navigate Menu  and Find Account
 
 ",System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_21_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Cr Restriction,Account Available,Account number,Select New Activity from arrangement ,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_21_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Cr Restriction,Account Available,Account number,Apply Posting Restrict,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_21_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Cr Restriction,Account Available,Account number,Select 2 - Post No Credit,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_21_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Cr Restriction,Account Available,Account number,"Validate, Commit & Auth",System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_22_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - All Tran,Account Available,Account number,"Navigate Menu  and Find Account
 
 ",System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_22_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - All Tran,Account Available,Account number,Select New Activity from arrangement ,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_22_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - All Tran,Account Available,Account number,Apply Posting Restrict,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_22_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - All Tran,Account Available,Account number,Select 3 - Post ALL,System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_22_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - All Tran,Account Available,Account number,"Validate, Commit & Auth",System allow to update account level restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_23_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Multiple conditions (MultiValue),Account Available,Account number,"Navigate Menu  and Find Account
 
 ",System allow to update account level restriction using MultiValue,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_23_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Multiple conditions (MultiValue),Account Available,Account number,Select New Activity from arrangement,System allow to update account level restriction using MultiValue,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_23_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Multiple conditions (MultiValue),Account Available,Account number,Apply Posting Restrict - MultiValue,System allow to update account level restriction using MultiValue,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_23_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Multiple conditions (MultiValue),Account Available,Account number,Select desire option,System allow to update account level restriction using MultiValue,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_23_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level - Multiple conditions (MultiValue),Account Available,Account number,"Validate, Commit & Auth",System allow to update account level restriction using MultiValue,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_24_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction applied on Account level -  by posting the respective transaction - FT ( use cases from CIF-Restrictions),"Account available
Restrictions applied","Account number
CCY","Use FT and input required information
",System should not allow transaction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_24_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction applied on Account level -  by posting the respective transaction - FT ( use cases from CIF-Restrictions),"Account available
Restrictions applied","Account number
CCY",Validate,System should not allow transaction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_25_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Remove Posting Restrict on  Account level,"Account with posting restriction
","Account number
 ","Navigate Menu  and Find Account
 
 ",System should remove posting restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_25_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Remove Posting Restrict on  Account level,"Account with posting restriction
","Account number
 ",Select New Activity from arrangement ,System should remove posting restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_25_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Remove Posting Restrict on  Account level,"Account with posting restriction
","Account number
 ",Update Account ,System should remove posting restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_25_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,Remove Posting Restrict on  Account level,"Account with posting restriction
","Account number
 ",Remove Posting Restrict,System should remove posting restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_25_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,Remove Posting Restrict on  Account level,"Account with posting restriction
","Account number
 ","Validate, Commit & Auth",System should remove posting restriction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_26_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Transaction are allowed after removal (removed restriction Dr/Cr/All) - Multiple cases,"Account no 
","Account number
CCY","Use FT and input required information
",System should allow transaction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_26_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Transaction are allowed after removal (removed restriction Dr/Cr/All) - Multiple cases,"Account no 
","Account number
CCY",Validate,System should allow transaction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_26_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Transaction are allowed after removal (removed restriction Dr/Cr/All) - Multiple cases,"Account no 
","Account number
CCY",Commit & Auth,System should allow transaction,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_27_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
 Dr ",Account no,"Account No
Date","Navigate Menu  and Find Account
 
 ",System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_27_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
 Dr ",Account no,"Account No
Date",Update Account ,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_27_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
 Dr ",Account no,"Account No
Date",Apply Posting Restrict,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_27_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
 Dr ",Account no,"Account No
Date",Apply Posting Restriction Expiry Date ,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_27_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
 Dr ",Account no,"Account No
Date",Select 1 - Dr,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_27_Step 6,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
 Dr ",Account no,"Account No
Date","Validate, Commit & Auth",System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_28_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
Cr",Account no,"Account No
Date","Navigate Menu  and Find Account
 
 ",System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_28_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
Cr",Account no,"Account No
Date",Update Account ,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_28_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
Cr",Account no,"Account No
Date",Apply Posting Restrict,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_28_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
Cr",Account no,"Account No
Date",Apply Posting Restriction Expiry Date ,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_28_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
Cr",Account no,"Account No
Date",Select 2 - Cr,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_28_Step 6,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
Cr",Account no,"Account No
Date","Validate, Commit & Auth",System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_29_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
ALL",Account no,"Account No
Date","Navigate Menu  and Find Account
 
 ",System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_29_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
ALL",Account no,"Account No
Date",Update Account ,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_29_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
ALL",Account no,"Account No
Date",Apply Posting Restrict,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_29_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
ALL",Account no,"Account No
Date",Apply Posting Restriction Expiry Date ,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_29_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
ALL",Account no,"Account No
Date",Select 3 - ALL,System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_29_Step 6,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with expiry Date
ALL",Account no,"Account No
Date","Validate, Commit & Auth",System should allow expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_30_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Today's expiry Date
 ",Account no,"Account No
Date","Navigate Menu  and Find Account
 
 ",system should allow today's expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_30_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Today's expiry Date
 ",Account no,"Account No
Date",Update Account ,system should allow today's expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_30_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Today's expiry Date
 ",Account no,"Account No
Date",Apply Posting Restrict,system should allow today's expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_30_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Today's expiry Date
 ",Account no,"Account No
Date",Apply Posting Restriction Expiry Date ,system should allow today's expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_30_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Today's expiry Date
 ",Account no,"Account No
Date",Select 1 - Dr / 2 - CR,system should allow today's expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_30_Step 6,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Today's expiry Date
 ",Account no,"Account No
Date","Validate, Commit & Auth",system should allow today's expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Negative,OOB_0096_31_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Back expiry Date
 ",Account no,"Account No
Date","Navigate Menu  and Find Account
 
 ",System should not allow back date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Negative,OOB_0096_31_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Back expiry Date
 ",Account no,"Account No
Date",Update Account ,System should not allow back date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Negative,OOB_0096_31_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Back expiry Date
 ",Account no,"Account No
Date",Apply Posting Restrict,System should not allow back date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Negative,OOB_0096_31_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Back expiry Date
 ",Account no,"Account No
Date",Apply Posting Restriction Expiry Date ,System should not allow back date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Negative,OOB_0096_31_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Back expiry Date
 ",Account no,"Account No
Date",Select 1 - Dr / 2 - CR,System should not allow back date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Negative,OOB_0096_31_Step 6,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Account level with Back expiry Date
 ",Account no,"Account No
Date","Validate, Commit & Auth",System should not allow back date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates","Navigate Menu  and Find Account
 
 ",System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates",Update Account ,System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates",Apply Posting Restrict,System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 4,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates",Select 1 - Dr ,System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 5,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates",Apply Posting Restriction Expiry Date for Dr,System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 6,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates",Select 2 - Cr ,System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 7,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates",Apply Posting Restriction Expiry Date  for Cr,System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_32_Step 8,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Account level with two different expiry date For Dr xx/xx/xxxx For Cr yy/yy/yyy,"Account no
Dates","Account No
Dates","Validate, Commit & Auth",System should allow multi expiry date,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_33_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction  applies on Account level (during expire date) -  by posting the respective transaction  - FT ,"Account no
Restriction applied",Account No,"Use FT and input required information
",System should not allow posting,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_33_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction  applies on Account level (during expire date) -  by posting the respective transaction  - FT ,"Account no
Restriction applied",Account No,Validate,System should not allow posting,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_33_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction  applies on Account level (during expire date) -  by posting the respective transaction  - FT ,"Account no
Restriction applied",Account No,Commit & Auth,System should not allow posting,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_34_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction no longer applies on Account level (on expire date) -  by posting the respective transaction - FT- ,Before cob of expiry date,Account No.,"Use FT and input required information
",System should not allow posting ,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_34_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction no longer applies on Account level (on expire date) -  by posting the respective transaction - FT- ,Before cob of expiry date,Account No.,Validate,System should not allow posting ,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_34_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction no longer applies on Account level (on expire date) -  by posting the respective transaction - FT- ,Before cob of expiry date,Account No.,Commit & Auth,System should not allow posting ,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_35_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction no longer applies on Account level (after expire date) -  by posting the respective transaction - FT- ,After cob of expiry date,Account No.,"Use FT and input required information
",System should allow posting ,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_35_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction no longer applies on Account level (after expire date) -  by posting the respective transaction - FT- ,After cob of expiry date,Account No.,Validate,System should allow posting ,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_35_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate Posting Restriction no longer applies on Account level (after expire date) -  by posting the respective transaction - FT- ,After cob of expiry date,Account No.,Commit & Auth,System should allow posting ,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_36_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Customer level with expiry Date
 ",Customer No,"Customer No
Dates","  Navigate to Customer restriction Version
 ",System should allow restriction on expiry date bases,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_36_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,"Set Posting Restrict on Customer level with expiry Date
 ",Customer No,"Customer No
Dates",Input required data Restrictions type and expiry Date,System should allow restriction on expiry date bases,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_37_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate all related account have restriction - post Tran on all accounts,Account No,"Account No
CCY","Use FT and input required information
",System should not allow posting if restriction on customer level,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_37_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate all related account have restriction - post Tran on all accounts,Account No,"Account No
CCY",Validate,System should not allow posting if restriction on customer level,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_37_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate all related account have restriction - post Tran on all accounts,Account No,"Account No
CCY",Commit & Auth,System should not allow posting if restriction on customer level,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_38_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Validate if on cust level ALL restriction xx/xx/xxxx date and account level Dr yy/yy/yyyy date (Cascade Cust to accounts),"Account No
Restriction applied","Account No
Dates","Use FT and input required information
",System should not allow posting if Cust level is greater than accounts,0.0,0.0
Functional Testing\OOB\0100,"Add, remove or change banking plan",T24Qa1,Functional Testing,Positive,OOB_100_01_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Verify system allowed to add banking plan,Arrangement No,Arrangement No,"Navigate to arrangement
",System should allow to add plan( IF BANK HAVE A MODULE),0.0,0.0
Functional Testing\OOB\0100,"Add, remove or change banking plan",T24Qa1,Functional Testing,Positive,OOB_100_01_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Verify system allowed to add banking plan,Arrangement No,Arrangement No,Change product activity and Add new plan,System should allow to add plan( IF BANK HAVE A MODULE),0.0,0.0
Functional Testing\OOB\0100,"Add, remove or change banking plan",T24Qa1,Functional Testing,Positive,OOB_100_01_Step 3,Verify if inactive accounts can be activated after user initiated activity - reactivation,Verify system allowed to add banking plan,Arrangement No,Arrangement No,"Validate, Commit & Auth",System should allow to add plan( IF BANK HAVE A MODULE),0.0,0.0
Functional Testing\OOB\0100,"Add, remove or change banking plan",T24Qa1,Functional Testing,Positive,OOB_100_02_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Verify system allowed to remove banking plan,Arrangement No,Arrangement No,"Navigate to arrangement
",System should allow to remove plan  ( IF BANK HAVE A MODULE),0.0,0.0
